City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ayan,RU,2020-12-24 00:43:15,56.45,138.17,-17.97,78,3,10.89
1,Lebu,CL,2020-12-24 00:43:15,-37.62,-73.65,56.41,89,0,13.6
2,Hilo,US,2020-12-24 00:42:10,19.73,-155.09,82.4,54,1,11.41
3,Jamestown,US,2020-12-24 00:39:35,42.1,-79.24,41.0,55,1,12.75
4,Manokwari,ID,2020-12-24 00:43:16,-0.87,134.08,83.98,70,100,3.58
5,East London,ZA,2020-12-24 00:43:16,-33.02,27.91,70.5,65,36,16.71
6,Vaini,TO,2020-12-24 00:43:16,-21.2,-175.2,84.2,79,40,16.11
7,Elko,US,2020-12-24 00:43:16,41.0,-115.5,30.2,42,1,3.36
8,Ushuaia,AR,2020-12-24 00:43:17,-54.8,-68.3,46.4,81,40,29.97
9,Tulun,RU,2020-12-24 00:43:17,54.56,100.58,-1.66,91,100,5.99
10,Flin Flon,CA,2020-12-24 00:43:17,54.77,-101.86,-22.0,82,20,1.54
11,Oktyabrskoye,RU,2020-12-24 00:43:17,43.06,44.74,21.2,100,100,4.47
12,Ugoofaaru,MV,2020-12-24 00:43:17,5.67,73.0,81.03,79,100,13.2
13,Qaanaaq,GL,2020-12-24 00:43:17,77.48,-69.36,-2.11,87,8,6.51
14,Victoria,HK,2020-12-24 00:42:01,22.29,114.16,66.99,77,1,1.01
15,Nanortalik,GL,2020-12-24 00:43:18,60.14,-45.24,35.73,89,100,18.48
16,Georgetown,MY,2020-12-24 00:40:07,5.41,100.34,78.8,83,20,4.21
17,Tobe,JP,2020-12-24 00:43:18,33.74,132.79,51.01,66,75,6.93
18,Rikitea,PF,2020-12-24 00:43:19,-23.12,-134.97,78.66,63,48,6.44
19,Punta Arenas,CL,2020-12-24 00:43:02,-53.15,-70.92,51.01,64,0,27.51
20,Hithadhoo,MV,2020-12-24 00:43:19,-0.6,73.08,81.18,77,98,13.65
21,Normandin,CA,2020-12-24 00:43:19,48.83,-72.53,14.0,78,100,13.87
22,Preobrazheniye,RU,2020-12-24 00:43:20,42.9,133.91,26.26,84,0,12.06
23,Avera,US,2020-12-24 00:43:20,33.19,-82.53,59.0,81,90,4.7
24,Verkh-Usugli,RU,2020-12-24 00:43:20,52.7,115.17,-2.88,92,100,1.68
25,Mataura,NZ,2020-12-24 00:43:20,-46.19,168.86,57.0,78,30,17.0
26,Yellowknife,CA,2020-12-24 00:41:02,62.46,-114.35,-4.0,76,90,14.99
27,Mastic Beach,US,2020-12-24 00:43:20,40.77,-72.85,33.8,69,1,12.77
28,Ribeira Grande,PT,2020-12-24 00:43:21,38.52,-28.7,56.1,63,4,15.93
29,Carnarvon,AU,2020-12-24 00:43:21,-24.87,113.63,78.8,94,75,10.29
30,Hefei,CN,2020-12-24 00:38:51,31.86,117.28,37.4,74,0,4.47
31,Maraa,BR,2020-12-24 00:43:21,-1.83,-65.37,74.12,98,100,1.79
32,Hamilton,US,2020-12-24 00:43:21,39.18,-84.53,55.4,32,90,16.11
33,Kodiak,US,2020-12-24 00:41:06,57.79,-152.41,35.6,64,1,4.7
34,Baykit,RU,2020-12-24 00:43:22,61.67,96.37,-31.99,77,11,2.37
35,Port Alfred,ZA,2020-12-24 00:43:22,-33.59,26.89,66.99,90,100,5.01
36,Albany,US,2020-12-24 00:43:22,42.6,-73.97,35.01,58,79,7.38
37,Salme,NP,2020-12-24 00:43:22,28.04,85.09,41.0,93,75,3.36
38,Warman,CA,2020-12-24 00:40:19,52.32,-106.57,5.0,84,75,5.82
39,Puerto Ayora,EC,2020-12-24 00:43:23,-0.74,-90.35,73.0,91,76,5.01
40,Tuktoyaktuk,CA,2020-12-24 00:43:23,69.45,-133.04,-4.0,83,90,20.8
41,Barrow,US,2020-12-24 00:43:23,71.29,-156.79,-2.2,70,90,29.97
42,Chuy,UY,2020-12-24 00:43:23,-33.7,-53.46,63.16,90,0,8.55
43,Bluff,NZ,2020-12-24 00:43:24,-46.6,168.33,57.0,78,21,17.0
44,Ponta Do Sol,PT,2020-12-24 00:43:24,32.67,-17.1,66.2,72,40,5.82
45,Arraial Do Cabo,BR,2020-12-24 00:43:24,-22.97,-42.03,73.22,86,97,10.0
46,Iracoubo,GF,2020-12-24 00:43:24,5.48,-53.2,77.09,89,99,9.64
47,Broome,US,2020-12-24 00:43:24,42.25,-75.83,37.0,64,1,10.29
48,Saskylakh,RU,2020-12-24 00:43:24,71.92,114.08,-25.76,85,91,7.52
49,Eureka,US,2020-12-24 00:40:27,40.8,-124.16,52.0,71,0,1.01
50,New Norfolk,AU,2020-12-24 00:43:25,-42.78,147.06,60.01,58,100,3.0
51,Okato,NZ,2020-12-24 00:43:25,-39.2,173.88,64.99,82,66,11.01
52,Busselton,AU,2020-12-24 00:43:25,-33.65,115.33,82.85,30,0,7.56
53,Houma,US,2020-12-24 00:40:00,29.6,-90.72,68.0,88,75,8.05
54,Lompoc,US,2020-12-24 00:43:25,34.64,-120.46,60.8,71,1,8.05
55,Abdulino,RU,2020-12-24 00:43:26,53.7,53.67,1.4,94,94,2.77
56,Provideniya,RU,2020-12-24 00:43:26,64.38,-173.3,21.2,85,90,15.66
57,Tasiilaq,GL,2020-12-24 00:43:26,65.61,-37.64,30.2,92,100,34.45
58,Mezen,RU,2020-12-24 00:43:26,65.85,44.24,3.52,86,100,14.32
59,Torbay,CA,2020-12-24 00:43:26,47.67,-52.73,35.01,80,90,11.41
60,Zima,RU,2020-12-24 00:41:10,53.92,102.04,-3.57,90,100,6.15
61,Saint-Pierre,RE,2020-12-24 00:43:27,-21.34,55.48,73.4,78,0,4.7
62,Bredasdorp,ZA,2020-12-24 00:43:27,-34.53,20.04,60.8,93,100,3.36
63,Belyy Yar,RU,2020-12-24 00:43:27,53.6,91.39,21.2,73,0,2.24
64,Urumqi,CN,2020-12-24 00:40:27,43.8,87.6,-2.2,84,75,0.2
65,Ahuimanu,US,2020-12-24 00:43:27,21.44,-157.84,80.6,65,1,5.82
66,Rawson,AR,2020-12-24 00:43:27,-43.3,-65.1,69.87,36,0,8.03
67,Pisco,PE,2020-12-24 00:43:28,-13.7,-76.22,68.0,88,0,18.34
68,Kottayam,IN,2020-12-24 00:43:28,9.58,76.52,75.2,100,75,2.21
69,Esperance,AU,2020-12-24 00:43:28,-33.87,121.9,71.6,53,0,16.11
70,Ilulissat,GL,2020-12-24 00:43:28,69.22,-51.1,28.4,86,100,9.17
71,Norman Wells,CA,2020-12-24 00:43:28,65.28,-126.83,-4.0,76,75,8.05
72,Kavieng,PG,2020-12-24 00:43:28,-2.57,150.8,85.89,66,95,4.81
73,Alofi,NU,2020-12-24 00:43:29,-19.06,-169.92,82.4,74,92,9.17
74,Cherskiy,RU,2020-12-24 00:43:29,68.75,161.3,-17.27,88,100,9.35
75,Hobart,AU,2020-12-24 00:40:07,-42.88,147.33,60.01,50,75,8.05
76,Bakaly,RU,2020-12-24 00:43:29,55.18,53.8,4.51,94,100,5.37
77,Murdochville,CA,2020-12-24 00:43:29,48.96,-65.5,15.8,61,91,6.93
78,Ilyich,KZ,2020-12-24 00:43:30,40.85,68.51,30.61,87,46,4.25
79,Chokurdakh,RU,2020-12-24 00:43:30,70.63,147.92,-11.24,89,100,14.7
80,Atuona,PF,2020-12-24 00:43:30,-9.8,-139.03,78.6,77,6,17.36
81,Omboue,GA,2020-12-24 00:43:30,-1.57,9.26,76.53,92,100,6.04
82,Dikson,RU,2020-12-24 00:43:30,73.51,80.55,-11.69,89,100,10.0
83,Paulista,BR,2020-12-24 00:38:32,-7.94,-34.87,78.8,69,40,8.05
84,Mogadishu,SO,2020-12-24 00:42:27,2.04,45.34,77.02,77,97,18.99
85,Avarua,CK,2020-12-24 00:43:31,-21.21,-159.78,71.6,100,100,6.93
86,Siniscola,IT,2020-12-24 00:43:31,40.57,9.69,50.0,100,0,4.7
87,Ancud,CL,2020-12-24 00:43:31,-41.87,-73.82,59.0,93,90,12.75
88,Aksu,CN,2020-12-24 00:43:31,41.12,80.26,15.03,90,94,0.65
89,Coahuayana,MX,2020-12-24 00:43:31,18.73,-103.68,80.6,54,5,1.39
90,Lamballe,FR,2020-12-24 00:43:31,48.47,-2.51,48.99,94,36,1.01
91,Severo-Kurilsk,RU,2020-12-24 00:43:32,50.68,156.12,21.54,91,80,22.17
92,Cape Town,ZA,2020-12-24 00:43:32,-33.93,18.42,66.0,93,75,9.17
93,Nampula,MZ,2020-12-24 00:43:32,-15.12,39.27,75.2,88,20,9.17
94,Quchan,IR,2020-12-24 00:43:32,37.11,58.51,34.66,80,70,4.09
95,Vestmannaeyjar,IS,2020-12-24 00:43:32,63.44,-20.27,40.68,74,100,6.96
96,Tiksi,RU,2020-12-24 00:43:33,71.69,128.87,-17.18,89,100,6.78
97,Zhezkazgan,KZ,2020-12-24 00:43:33,47.8,67.71,-3.51,93,46,2.71
98,Port Moresby,PG,2020-12-24 00:39:04,-9.44,147.18,86.0,66,20,11.41
99,San Andres,CO,2020-12-24 00:43:33,12.58,-81.7,82.4,74,20,13.87
100,Port Elizabeth,ZA,2020-12-24 00:42:28,-33.92,25.57,66.2,88,40,20.8
101,Broken Hill,AU,2020-12-24 00:43:34,-31.95,141.43,71.6,37,0,9.17
102,Nanding,CN,2020-12-24 00:43:34,36.75,118.06,32.94,73,0,2.62
103,Pangody,RU,2020-12-24 00:43:34,65.85,74.49,-39.35,81,49,7.49
104,Mount Gambier,AU,2020-12-24 00:41:27,-37.83,140.77,62.6,48,90,12.75
105,Duncan,US,2020-12-24 00:43:34,34.5,-97.96,37.99,47,0,14.0
106,Portland,US,2020-12-24 00:39:56,45.52,-122.68,45.0,61,0,3.0
107,Gazalkent,UZ,2020-12-24 00:43:35,41.56,69.77,28.4,79,0,4.7
108,Colwyn Bay,GB,2020-12-24 00:43:35,53.29,-3.73,41.0,91,84,13.0
109,Sainte-Suzanne,RE,2020-12-24 00:40:27,-20.91,55.61,75.2,78,47,14.99
110,Constitucion,CL,2020-12-24 00:43:35,-35.33,-72.42,57.42,76,0,17.2
111,Pingliang,CN,2020-12-24 00:43:35,35.54,106.69,26.01,32,29,7.0
112,Isla Mujeres,MX,2020-12-24 00:43:36,21.23,-86.73,79.0,78,40,5.82
113,Longyearbyen,SJ,2020-12-24 00:43:36,78.22,15.64,33.8,64,0,28.86
114,Upernavik,GL,2020-12-24 00:43:36,72.79,-56.15,12.22,95,100,10.58
115,Sao Filipe,CV,2020-12-24 00:43:36,14.9,-24.5,72.66,65,100,5.32
116,Opuwo,NA,2020-12-24 00:43:36,-18.06,13.84,64.58,45,60,0.98
117,Los Llanos De Aridane,ES,2020-12-24 00:43:37,28.66,-17.92,66.2,59,20,2.24
118,Aleksin,RU,2020-12-24 00:43:37,54.51,37.08,17.6,92,100,8.95
119,Saldanha,ZA,2020-12-24 00:43:37,-33.01,17.94,64.4,82,38,2.24
120,Hobyo,SO,2020-12-24 00:43:37,5.35,48.53,76.3,74,23,18.63
121,Lenger,KZ,2020-12-24 00:43:37,42.18,69.88,23.0,92,0,2.24
122,Adrar,MR,2020-12-24 00:43:37,20.5,-10.07,56.79,38,0,9.95
123,Kieta,PG,2020-12-24 00:43:38,-6.22,155.63,85.32,69,100,5.66
124,Frontera,MX,2020-12-24 00:43:38,26.93,-101.45,65.17,33,100,5.14
125,Bambous Virieux,MU,2020-12-24 00:43:38,-20.34,57.76,77.0,88,75,11.41
126,Kotido,UG,2020-12-24 00:43:38,2.98,34.13,69.85,60,3,7.27
127,Ust-Koksa,RU,2020-12-24 00:43:38,50.27,85.61,10.71,88,100,2.59
128,Caconda,AO,2020-12-24 00:43:38,-13.73,15.07,58.96,98,100,5.59
129,Olafsvik,IS,2020-12-24 00:43:39,64.89,-23.71,40.01,77,100,18.84
130,Antsohihy,MG,2020-12-24 00:43:39,-14.88,47.99,73.02,81,1,3.71
131,Zyryanka,RU,2020-12-24 00:43:39,65.75,150.85,-19.84,86,100,19.53
132,Hofn,IS,2020-12-24 00:43:39,64.25,-15.21,30.65,80,98,6.58
133,Nagaur,IN,2020-12-24 00:43:17,27.2,73.73,52.48,44,0,7.36
134,Dhidhdhoo,MV,2020-12-24 00:43:40,6.88,73.1,81.9,80,99,17.69
135,Lokosovo,RU,2020-12-24 00:43:40,61.13,74.82,-17.18,88,100,7.63
136,Nantucket,US,2020-12-24 00:39:23,41.28,-70.1,33.8,64,1,4.7
137,Hirara,JP,2020-12-24 00:39:02,24.8,125.28,73.4,88,75,4.7
138,Butaritari,KI,2020-12-24 00:43:40,3.07,172.79,81.09,77,68,16.24
139,Kapaa,US,2020-12-24 00:43:41,22.08,-159.32,80.6,61,1,6.93
140,Losal,IN,2020-12-24 00:43:41,27.4,74.92,46.81,59,0,3.74
141,Honiara,SB,2020-12-24 00:40:28,-9.43,159.95,86.0,74,75,5.82
142,Coihaique,CL,2020-12-24 00:43:41,-45.58,-72.07,60.8,59,75,8.05
143,Padang,ID,2020-12-24 00:43:41,-0.95,100.35,77.74,81,100,3.91
144,Amuntai,ID,2020-12-24 00:43:42,-2.42,115.25,79.14,86,100,1.83
145,Okha,RU,2020-12-24 00:43:42,53.57,142.95,-12.42,88,0,9.4
146,Letka,RU,2020-12-24 00:43:42,59.6,49.42,14.38,96,83,4.79
147,Mbini,GQ,2020-12-24 00:43:42,1.57,9.61,78.8,100,40,5.12
148,Sibenik,HR,2020-12-24 00:43:42,43.73,15.91,55.99,81,100,3.36
149,Conway,US,2020-12-24 00:43:42,35.09,-92.44,54.0,71,90,12.75
150,Jalu,LY,2020-12-24 00:43:43,29.03,21.55,52.38,77,0,7.58
151,Narsaq,GL,2020-12-24 00:43:43,60.92,-46.05,33.8,86,100,3.36
152,Castro,BR,2020-12-24 00:43:43,-24.79,-50.01,61.93,96,39,9.31
153,Wasilla,US,2020-12-24 00:43:43,61.58,-149.44,34.0,86,90,8.05
154,Bethel,US,2020-12-24 00:40:23,41.37,-73.41,34.0,96,1,3.89
155,Bologoye,RU,2020-12-24 00:43:43,57.88,34.11,23.5,98,100,7.67
156,Makaha,US,2020-12-24 00:43:44,21.47,-158.22,82.4,61,75,5.82
157,Souillac,MU,2020-12-24 00:43:44,-20.52,57.52,77.0,88,75,11.41
158,Ust-Kuyga,RU,2020-12-24 00:43:44,70.02,135.6,-30.12,82,100,3.49
159,Loiza,PR,2020-12-24 00:43:44,18.43,-65.88,78.8,83,40,6.93
160,Thompson,CA,2020-12-24 00:43:44,55.74,-97.86,-20.2,75,75,4.7
161,Mlowo,TZ,2020-12-24 00:43:45,-9.0,32.98,59.34,93,10,1.19
162,Yurimaguas,PE,2020-12-24 00:43:45,-5.9,-76.08,76.93,79,100,2.39
163,Bilma,NE,2020-12-24 00:43:45,18.69,12.92,61.61,36,34,18.05
164,Kahului,US,2020-12-24 00:43:45,20.89,-156.47,84.2,51,40,8.05
165,Sabang,ID,2020-12-24 00:43:45,5.89,95.32,80.26,77,90,12.93
166,Nikolskoye,RU,2020-12-24 00:43:45,59.7,30.79,34.0,96,75,11.18
167,Richards Bay,ZA,2020-12-24 00:40:36,-28.78,32.04,72.46,88,23,10.27
168,Verkhnyaya Sinyachikha,RU,2020-12-24 00:43:46,57.98,61.67,20.14,97,87,5.39
169,Xianyang,CN,2020-12-24 00:43:46,34.34,108.7,35.01,92,89,2.24
170,Berlevag,NO,2020-12-24 00:43:46,70.86,29.09,34.52,88,100,17.83
171,Shingu,JP,2020-12-24 00:43:46,33.73,135.98,48.2,76,75,1.12
172,Tura,IN,2020-12-24 00:43:46,25.52,90.22,55.8,80,48,2.37
173,Korla,CN,2020-12-24 00:43:47,41.76,86.15,16.34,90,0,3.29
174,Sept-Iles,CA,2020-12-24 00:43:47,50.2,-66.38,14.0,56,98,4.7
175,Hovd,MN,2020-12-24 00:43:47,48.01,91.64,4.69,82,0,3.98
176,Port Hardy,CA,2020-12-24 00:43:47,50.7,-127.42,42.8,75,75,16.11
177,Gayeri,BF,2020-12-24 00:43:47,12.65,0.49,71.06,22,0,8.03
178,Vega De Alatorre,MX,2020-12-24 00:43:47,20.03,-96.63,75.04,81,0,13.76
179,Port Lincoln,AU,2020-12-24 00:43:48,-34.73,135.87,62.96,69,92,11.95
180,Porto Santo,PT,2020-12-24 00:43:48,33.07,-16.34,64.4,88,20,9.17
181,Ayorou,NE,2020-12-24 00:43:48,14.73,0.92,71.19,21,88,9.46
182,Port Keats,AU,2020-12-24 00:43:48,-14.25,129.55,86.63,64,62,8.12
183,Boyolangu,ID,2020-12-24 00:43:48,-8.12,111.89,81.55,70,87,6.78
184,Qinhuangdao,CN,2020-12-24 00:43:49,39.93,119.59,23.23,79,0,6.44
185,Hermanus,ZA,2020-12-24 00:43:15,-34.42,19.23,63.0,94,100,1.99
186,Luganville,VU,2020-12-24 00:43:49,-15.53,167.17,86.0,79,75,6.93
187,Grand Gaube,MU,2020-12-24 00:43:49,-20.01,57.66,77.0,83,1,5.01
188,Monrovia,LR,2020-12-24 00:43:49,6.3,-10.8,77.0,94,20,8.19
189,Laranjeiras Do Sul,BR,2020-12-24 00:43:49,-25.41,-52.42,66.11,87,0,3.27
190,Dryden,CA,2020-12-24 00:43:50,49.78,-92.75,-0.4,77,90,11.41
191,Beyneu,KZ,2020-12-24 00:43:50,45.32,55.2,14.04,93,0,9.31
192,Ostrovnoy,RU,2020-12-24 00:43:50,68.05,39.51,18.55,94,100,28.63
193,Braganca,BR,2020-12-24 00:43:50,-1.05,-46.77,77.34,85,88,3.24
194,Doha,QA,2020-12-24 00:43:50,25.29,51.53,62.6,77,0,2.24
195,Airai,TL,2020-12-24 00:43:51,-8.93,125.41,71.62,74,65,1.9
196,Groton,US,2020-12-24 00:43:51,41.35,-72.08,36.0,74,1,8.25
197,Arlit,NE,2020-12-24 00:43:51,18.74,7.39,63.88,29,47,9.93
198,Saint-Philippe,RE,2020-12-24 00:43:51,-21.36,55.77,75.2,78,0,4.7
199,Hay River,CA,2020-12-24 00:43:51,60.82,-115.8,6.8,84,100,9.17
200,Menongue,AO,2020-12-24 00:43:51,-14.66,17.69,63.39,96,100,3.87
201,Bridlington,GB,2020-12-24 00:43:52,54.08,-0.19,42.8,87,100,19.46
202,Roebourne,AU,2020-12-24 00:43:52,-20.78,117.13,92.71,33,24,7.61
203,Kruisfontein,ZA,2020-12-24 00:43:52,-34.0,24.73,64.0,84,100,5.99
204,Gasa,PS,2020-12-24 00:42:07,31.5,34.47,57.99,100,86,3.0
205,Santiago Del Estero,AR,2020-12-24 00:43:53,-27.8,-64.26,87.12,28,99,13.73
206,Salalah,OM,2020-12-24 00:43:53,17.02,54.09,71.6,37,0,10.29
207,San Patricio,US,2020-12-24 00:43:53,28.02,-97.52,73.4,73,40,4.7
208,Progreso,MX,2020-12-24 00:40:01,21.28,-89.67,77.0,69,5,4.7
209,Oktyabrskiy,RU,2020-12-24 00:43:54,54.48,53.47,3.43,94,93,3.85
210,Shimanovsk,RU,2020-12-24 00:43:54,52.0,127.7,-10.16,85,0,5.28
211,Wodonga,AU,2020-12-24 00:40:31,-36.12,146.88,75.0,53,0,11.41
212,Dafeng,CN,2020-12-24 00:43:54,23.45,108.59,57.09,46,13,5.97
213,Nizhyn,UA,2020-12-24 00:43:54,51.05,31.89,30.47,99,100,6.51
214,Male,MV,2020-12-24 00:43:54,4.17,73.51,78.8,88,75,4.7
215,Banda Aceh,ID,2020-12-24 00:43:55,5.56,95.32,78.13,84,99,10.25
216,Polunochnoye,RU,2020-12-24 00:43:55,60.87,60.42,-14.8,87,98,7.05
217,Srednekolymsk,RU,2020-12-24 00:43:55,67.45,153.68,-14.66,89,100,17.27
218,Juneau,US,2020-12-24 00:43:55,58.3,-134.42,39.2,93,90,19.46
219,Gat,IL,2020-12-24 00:43:55,31.61,34.76,57.99,100,99,1.99
220,Tutoia,BR,2020-12-24 00:43:55,-2.76,-42.27,81.0,77,100,14.43
221,Nome,US,2020-12-24 00:43:56,64.5,-165.41,25.0,85,90,12.75
222,Fort-Shevchenko,KZ,2020-12-24 00:43:56,44.51,50.26,24.73,93,100,16.2
223,Caucaia,BR,2020-12-24 00:43:56,-3.74,-38.65,81.0,74,0,12.75
224,Muyezerskiy,RU,2020-12-24 00:43:56,63.93,31.65,24.91,97,100,8.79
225,Tagusao,PH,2020-12-24 00:43:56,9.19,117.81,82.42,72,90,2.86
226,Bowen,AU,2020-12-24 00:43:57,-20.02,148.23,84.2,74,90,12.75
227,Kununurra,AU,2020-12-24 00:43:57,-15.77,128.73,84.2,89,75,9.17
228,Tuatapere,NZ,2020-12-24 00:43:57,-46.13,167.68,57.0,78,0,17.0
229,Xuddur,SO,2020-12-24 00:43:57,4.12,43.89,69.93,49,0,13.96
230,Dieppe,FR,2020-12-24 00:43:57,49.75,1.17,46.0,92,99,6.13
231,Mazyr,BY,2020-12-24 00:43:58,52.05,29.25,32.77,97,95,3.42
232,Tongren,CN,2020-12-24 00:43:58,27.72,109.19,45.81,68,43,1.81
233,Hibbing,US,2020-12-24 00:43:58,47.43,-92.94,8.6,77,90,19.46
234,Luderitz,NA,2020-12-24 00:43:58,-26.65,15.16,66.24,54,0,21.68
235,Soligalich,RU,2020-12-24 00:43:58,59.08,42.29,17.89,95,100,9.53
236,Japura,ID,2020-12-24 00:43:58,-0.32,102.35,77.16,92,100,2.3
237,Boca Do Acre,BR,2020-12-24 00:43:59,-8.75,-67.4,73.76,94,85,1.77
238,Cap-Chat,CA,2020-12-24 00:43:59,49.1,-66.68,12.2,66,100,9.17
239,Conakry,GN,2020-12-24 00:43:59,9.54,-13.68,80.73,70,78,4.32
240,Palaikastron,GR,2020-12-24 00:43:59,35.2,26.25,57.0,67,0,16.46
241,Wahiawa,US,2020-12-24 00:44:00,21.5,-158.02,82.4,61,75,5.82
242,Sinnamary,GF,2020-12-24 00:44:00,5.38,-52.95,77.63,89,95,10.27
243,Hella,NO,2020-12-24 00:44:00,67.2,14.43,32.0,92,75,4.7
244,Khandyga,RU,2020-12-24 00:44:00,62.67,135.6,-44.1,79,100,0.87
245,Lavrentiya,RU,2020-12-24 00:44:00,65.58,-171.0,26.47,97,100,12.84
246,Yima,CN,2020-12-24 00:44:01,34.74,111.88,34.11,71,0,10.2
247,Cockburn Town,TC,2020-12-24 00:40:05,21.46,-71.14,78.8,69,40,13.87
248,Paamiut,GL,2020-12-24 00:44:01,61.99,-49.67,34.52,93,100,36.06
249,Antofagasta,CL,2020-12-24 00:43:23,-23.65,-70.4,66.2,77,75,12.75
250,Sayyan,YE,2020-12-24 00:44:01,15.17,44.32,44.91,70,0,1.1
251,Russellville,US,2020-12-24 00:41:38,35.28,-93.13,53.6,54,1,13.87
252,Uglekamensk,RU,2020-12-24 00:44:02,43.22,133.23,22.19,87,95,5.77
253,Mar Del Plata,AR,2020-12-24 00:44:02,-38.0,-57.56,79.0,39,40,11.41
254,Bengkulu,ID,2020-12-24 00:44:03,-3.8,102.27,79.07,77,100,4.63
255,Meulaboh,ID,2020-12-24 00:43:30,4.14,96.13,76.15,91,100,7.85
256,Ambilobe,MG,2020-12-24 00:43:47,-13.2,49.05,73.89,88,61,1.45
257,Lorengau,PG,2020-12-24 00:44:03,-2.02,147.27,83.52,77,100,5.01
258,Vallenar,CL,2020-12-24 00:44:03,-28.57,-70.76,63.5,56,0,2.21
259,Bressuire,FR,2020-12-24 00:44:04,46.92,-0.5,48.0,83,100,28.83
260,Lata,PT,2020-12-24 00:44:04,40.16,-8.33,48.2,87,40,5.82
261,Havelock,US,2020-12-24 00:39:43,34.88,-76.9,50.0,75,1,7.16
262,Boa Vista,BR,2020-12-24 00:44:04,2.82,-60.67,77.0,88,75,6.93
263,Riohacha,CO,2020-12-24 00:43:49,11.54,-72.91,78.3,76,68,11.7
264,Boende,CD,2020-12-24 00:44:04,-0.22,20.87,70.68,96,99,2.3
265,Jijiga,ET,2020-12-24 00:44:05,9.35,42.8,58.23,36,100,7.27
266,Baruun-Urt,MN,2020-12-24 00:44:05,46.68,113.28,-8.61,85,0,9.91
267,Chanika,TZ,2020-12-24 00:44:05,-5.42,38.02,69.3,95,46,1.1
268,Gazanjyk,TM,2020-12-24 00:44:05,39.24,55.52,32.74,90,53,7.81
269,Yamada,JP,2020-12-24 00:41:13,39.47,141.95,49.19,65,49,15.86
270,Saint George,US,2020-12-24 00:41:38,37.1,-113.58,44.6,16,1,12.75
271,Yarada,IN,2020-12-24 00:44:06,17.65,83.27,59.0,93,0,2.24
272,Santiago De Las Vegas,CU,2020-12-24 00:44:06,22.97,-82.39,71.6,83,40,6.93
273,Komsomolskiy,UZ,2020-12-24 00:44:06,40.43,71.72,32.0,91,90,2.24
274,Nicoya,CR,2020-12-24 00:44:06,10.15,-85.45,80.6,69,40,18.34
275,Areia,BR,2020-12-24 00:44:06,-6.96,-35.69,69.71,91,100,11.23
276,Tazovskiy,RU,2020-12-24 00:44:07,67.47,78.7,-42.43,80,30,3.44
277,Hami,CN,2020-12-24 00:44:07,42.8,93.45,12.97,82,0,3.36
278,Anamur,TR,2020-12-24 00:44:07,36.08,32.84,46.4,65,0,6.93
279,Vila Franca Do Campo,PT,2020-12-24 00:44:07,37.72,-25.43,55.4,58,75,14.99
280,Veraval,IN,2020-12-24 00:44:07,20.9,70.37,68.09,49,0,10.89
281,Malakal,SS,2020-12-24 00:44:08,9.53,31.66,74.84,34,0,1.74
282,Pereira Barreto,BR,2020-12-24 00:44:08,-20.64,-51.11,79.48,70,0,7.78
283,Konza,KE,2020-12-24 00:44:08,-1.74,37.13,64.4,88,75,6.93
284,Cabo San Lucas,MX,2020-12-24 00:43:13,22.89,-109.91,77.0,22,5,10.29
285,Poya,NC,2020-12-24 00:44:08,-21.35,165.15,82.92,69,61,7.63
286,Katsuura,JP,2020-12-24 00:42:25,35.13,140.3,55.4,54,75,24.16
287,Okhotsk,RU,2020-12-24 00:44:09,59.38,143.3,-16.29,83,100,13.69
288,Vlasenica,BA,2020-12-24 00:44:02,44.18,18.94,30.2,100,75,1.12
289,Aklavik,CA,2020-12-24 00:44:09,68.22,-135.01,-5.8,83,90,12.75
290,Bathsheba,BB,2020-12-24 00:44:09,13.22,-59.52,78.8,78,40,17.22
291,Zhigansk,RU,2020-12-24 00:44:09,66.77,123.37,-45.18,78,65,3.42
292,Keetmanshoop,NA,2020-12-24 00:44:09,-26.58,18.13,66.76,42,0,7.67
293,Senekal,ZA,2020-12-24 00:44:10,-28.32,27.62,61.59,41,16,3.2
